,Coords
1,"(48.3810791, 26.1081673)"
2,"(50.4500336, 30.5241361)"
3,"(51.2074112, 26.5208033)"
4,"(50.178595, 30.4924884)"
5,"(49.6512234, 23.8266948)"
6,"(48.7481718, 24.5207477)"
7,"(49.6630002, 25.6167516)"
8,"(48.2953664, 23.4466092)"
9,"(49.8299582, 36.3788957)"
10,"(48.8990315, 28.516068)"
11,"(48.662589, 34.9501715)"
12,"(46.1147226, 29.9567193)"
13,"(51.5451167, 24.6627893)"
14,"(50.9080532, 28.3867504)"
15,"(48.3725226, 31.7834817)"
16,"(47.4165079, 35.922969)"
17,"(49.1460165, 31.2271744)"
18,"(49.268624, 27.0635998)"
19,"(47.3886032, 31.9442334)"
20,"(49.8607809, 33.7498787)"
21,"(46.5421715, 33.4079326)"
22,"(50.7696518, 34.3289305)"
23,"(47.9212914, 37.7809825)"
24,"(51.272593, 31.7417235)"
25,"(49.2724587, 38.9150477)"
26,"(45.5359172, 33.0031985)"
